id,recorded_at,date_persian,time_str,year,month,day,price_18k,mesghal,price_24k,ounce_usd,coin_new,coin_old,half_coin,quarter_coin,gram_coin,spread_mesghal_18k,coin_bubble_estimate
1,2026-09-03 17:08:43+00:00,1405/06/12,20:38:43,1405,6,12,23440700.00,101540000.00,31300000.00,4488.00,233500000.00,230500000.00,119500000.00,64500000.00,35000000.00,-424.26,39879818.00
2,2026-09-03 17:35:58+00:00,1405/06/12,21:05:58,1405,6,12,23440700.00,101540000.00,31300000.00,4493.00,233500000.00,230500000.00,119500000.00,64500000.00,35000000.00,-424.26,39879818.00
3,2026-09-03 18:00:34+00:00,1405/06/12,21:30:34,1405,6,12,23364500.00,101210000.00,31300000.00,4488.00,233500000.00,230500000.00,119500000.00,64500000.00,35000000.00,-341.10,40509230.00
4,2026-09-03 18:42:41+00:00,1405/06/12,22:12:41,1405,6,12,23364500.00,101210000.00,31300000.00,4482.00,233500000.00,230500000.00,119500000.00,64500000.00,35000000.00,-341.10,40509230.00
5,2026-09-03 18:55:31+00:00,1405/06/12,22:25:31,1405,6,12,23364500.00,101210000.00,31300000.00,4479.00,233500000.00,230500000.00,119500000.00,64500000.00,35000000.00,-341.10,40509230.00
6,2026-09-03 19:09:21+00:00,1405/06/12,22:39:21,1405,6,12,23364500.00,101210000.00,31300000.00,4475.00,233500000.00,230500000.00,119500000.00,64500000.00,35000000.00,-341.10,40509230.00
7,2026-09-03 20:56:33.057315+00:00,1405/06/13,00:26:33,1405,6,13,23364500.00,101210000.00,31300000.00,4473.00,233500000.00,230500000.00,119500000.00,64500000.00,35000000.00,-341.10,40509230.00
